,team,player,mp,ORtg,DRtg,bpm,game_id,date_game
283,HOU,landajo01,1125,79,124,-11.4,202404020MIN,"Tue, Apr 2, 2024"
284,HOU,holidaa01,347,95,105,1.2,202404020MIN,"Tue, Apr 2, 2024"
285,HOU,bullore01,109,0,125,-6.3,202404020MIN,"Tue, Apr 2, 2024"
286,HOU,marjabo01,,,,,202404020MIN,"Tue, Apr 2, 2024"
287,HOU,tateja01,,,,,202404020MIN,"Tue, Apr 2, 2024"
288,HOU,willije02,,,,,202404020MIN,"Tue, Apr 2, 2024"
289,DEN,jokicni01,2255,115,98,13.8,202404020DEN,"Tue, Apr 2, 2024"
290,DEN,portemi01,2114,95,97,-1.2,202404020DEN,"Tue, Apr 2, 2024"
291,DEN,gordoaa01,1983,178,105,12.4,202404020DEN,"Tue, Apr 2, 2024"
292,DEN,caldwke01,1965,61,111,-11.1,202404020DEN,"Tue, Apr 2, 2024"
293,DEN,jacksre01,1553,69,114,-13.7,202404020DEN,"Tue, Apr 2, 2024"
294,DEN,braunch01,1648,127,113,-0.3,202404020DEN,"Tue, Apr 2, 2024"
295,DEN,holidju01,1359,99,104,-0.2,202404020DEN,"Tue, Apr 2, 2024"
296,DEN,watsope01,1189,115,102,0.5,202404020DEN,"Tue, Apr 2, 2024"
297,DEN,jordade01,333,0,101,-11.1,202404020DEN,"Tue, Apr 2, 2024"
298,DEN,gilleco01,,,,,202404020DEN,"Tue, Apr 2, 2024"
299,DEN,huffja01,,,,,202404020DEN,"Tue, Apr 2, 2024"
300,DEN,pickeja02,,,,,202404020DEN,"Tue, Apr 2, 2024"
301,DEN,strawju01,,,,,202404020DEN,"Tue, Apr 2, 2024"
302,DEN,tysonhu01,,,,,202404020DEN,"Tue, Apr 2, 2024"
303,SAS,champju02,2236,100,112,-4.4,202404020DEN,"Tue, Apr 2, 2024"
304,SAS,branhma01,2225,111,117,-3.2,202404020DEN,"Tue, Apr 2, 2024"
305,SAS,wembavi01,2037,90,91,10.6,202404020DEN,"Tue, Apr 2, 2024"
306,SAS,jonestr01,1938,133,107,7.2,202404020DEN,"Tue, Apr 2, 2024"
307,SAS,osmande01,1093,138,115,2.0,202404020DEN,"Tue, Apr 2, 2024"
308,SAS,mamuksa01,1447,122,115,-2.8,202404020DEN,"Tue, Apr 2, 2024"
309,SAS,grahade01,1163,74,111,-10.9,202404020DEN,"Tue, Apr 2, 2024"
310,SAS,colliza01,1056,118,105,7.1,202404020DEN,"Tue, Apr 2, 2024"
311,SAS,weslebl01,904,51,117,-19.5,202404020DEN,"Tue, Apr 2, 2024"
